timestamp,accX,accY,accZ,anvX,anvY,anvZ
37500,-0.56,-9.12,-1.43,-0.12,-0.38,-0.33
37600,0.9,-10.1,-1.66,0.4,0.06,-0.22
37700,0.1,-10.68,-0.7,-0.21,-0.31,-0.41
37800,0.21,-12.23,-1.52,0.34,0.06,-0.14
37900,0.23,-10.78,-1.74,-0.26,0.13,0.67
38000,0.26,-10.75,-2.18,0.22,0.07,0.48
38100,-1.45,-8.27,-2.09,-0.31,-0.27,0.24
38200,-0.7,-8.82,-1.07,0.07,0.14,-0.1
38300,-0.33,-9.12,-1.41,-0.2,-0.26,-0.03
38400,-0.11,-8.74,-0.87,0.12,-0.34,-0.42
38500,-0.07,-9.03,-0.99,-0.15,-0.48,-0.33
38600,0.48,-10.91,-0.75,0.18,0,-0.46
38700,0.43,-10.48,-1.35,0.2,0.15,0.16
38800,0.25,-11.21,-1.02,-0.31,0.43,0.02
38900,0.16,-10.71,-1.64,0.03,0.47,0.56
39000,-0.78,-9.26,-1.39,-0.46,0.15,-0.16
39100,-0.7,-8.26,-1.94,0.12,0.55,0.39
39200,-0.23,-8.73,-0.98,-0.23,0.04,-0.08
39300,0.23,-9.37,-1.36,-0.04,0.18,-0.23
39400,-0.01,-9.98,-1,0.12,0.35,-0.14
39500,-0.37,-11.41,-1.06,0.35,0.26,-0.16
39600,0.52,-10.39,-0.8,0.12,0.05,-0.05
39700,-0.13,-11.7,-0.73,-0.3,0.18,0.23
39800,-0.2,-10.49,-0.73,0.12,0.66,0.12
39900,-0.53,-9.99,-1.44,-0.27,0.09,0.28
40000,-0.67,-8.71,-2.02,-0.06,0.21,-0.07
40100,-0.6,-9.34,-0.75,0.09,0.02,0.05
40200,-1.14,-9.13,-1.01,0.02,0.09,-0.06
40300,-0.65,-8.71,-1.02,0.11,0.28,-0.27
40400,-0.47,-9.18,-0.64,-0.01,-0.04,-0.27
40500,0.04,-10.44,-0.55,0.27,-0.17,-0.23
40600,-0.48,-10.84,-0.72,0.22,-0.01,0.05
40700,0.13,-12.49,-0.2,-0.13,0.13,0.09
40800,-0.42,-10.16,-0.76,-0.21,0.18,0.37
40900,-0.45,-8.91,-1.99,-0.27,-0.02,0.15
41000,-0.69,-9.16,-1.42,-0.24,-0.18,-0.07
41100,-1.19,-9.47,-1.32,-0.2,-0.08,0.07
41200,-0.45,-9.25,-1.58,-0.3,0.05,-0.04
41300,-0.71,-9.11,-0.87,-0.17,-0.06,-0.16
41400,-0.06,-9.08,-1.41,0.04,-0.06,-0.06
41500,0.23,-10.5,-1.03,0.44,-0.01,0.09
41600,-0.28,-10.81,-1.4,0.02,-0.43,-0.42
41700,-1,-11.81,0.03,-0.06,-0.02,-0.1
41800,-0.12,-10.83,-0.85,-0.18,0.43,0.15
41900,-0.01,-9.15,-1.05,-0.11,0.25,0.32
42000,-0.08,-9.64,-1.3,-0.09,0.12,0.1
42100,-0.86,-9.31,-1.51,0.31,0.16,0.01
42200,-0.53,-8.55,-2.15,-0.14,-0.19,0.02
42300,-0.02,-10.06,-1.36,0.45,0,0.09
42400,-1.12,-9.55,-1.65,0.03,-0.14,-0.11
42500,-0.19,-10.29,-1.86,-0.1,0.04,-0.23
42600,-0.72,-9.96,-0.91,-0.25,0.08,0.09
42700,0.62,-12.71,-0.85,-0.28,-0.06,-0.26
42800,-0.26,-10.29,-0.47,-0.24,0.11,0.48
42900,0.25,-9.98,-1.75,-0.22,0.04,0.08
43000,-1.04,-9.3,-1.61,-0.16,0.01,0.12
43100,-1.29,-8.81,-1.94,0.05,0.07,0.07
43200,-0.48,-9.02,-2.05,0.05,0,0.35
43300,-0.23,-8.71,-2.12,-0.24,-0.16,-0.35
43400,-0.36,-9.12,-2.37,-0.05,0.09,-0.48
43500,0.08,-11.18,-1.39,-0.15,-0.11,-0.38
43600,-0.24,-12.16,-1.66,0.02,0.19,0.22
43700,-0.33,-10.41,-1.66,-0.24,-0.24,0.27
43800,-0.64,-10.17,-1.24,-0.08,-0.19,0.25
43900,-0.79,-9.51,-1.39,0.15,0.01,0.34
44000,-0.41,-9.41,-1.77,0.11,-0.03,0.27
44100,-1.26,-8.36,-1.64,-0.03,-0.13,0.08
44200,-1.01,-10.38,-1.86,0.28,0.3,-0.41
44300,-0.33,-10.27,-2.55,-0.29,-0.05,-0.23
44400,-0.43,-9.59,-2.61,-0.19,-0.05,-0.43
44500,-0.29,-10.04,-2.46,-0.05,0.36,0.13
